state,n_years_total,waste_metric,environmental_metric,n_years_used,pearson_corr,abs_pearson_corr
ACT,15,hazardous_disposal_tonnes,total_water_emission_kg,15,0.3561680842426074,0.3561680842426074
ACT,15,hazardous_disposal_tonnes,total_land_emission_kg,15,0.6741292532321995,0.6741292532321995
ACT,15,hazardous_disposal_tonnes,lead_air_kg,15,-0.28362031378559593,0.28362031378559593
ACT,15,hazardous_disposal_tonnes,lead_water_kg,15,0.1130452581545459,0.1130452581545459
ACT,15,hazardous_disposal_tonnes,lead_land_kg,15,-0.041291301262954765,0.041291301262954765
ACT,15,hazardous_disposal_tonnes,mercury_air_kg,15,-0.5405972850427078,0.5405972850427078
ACT,15,hazardous_disposal_tonnes,mercury_water_kg,15,0.2988270914044528,0.2988270914044528
ACT,15,hazardous_disposal_tonnes,mercury_land_kg,15,0.33390818627152025,0.33390818627152025
ACT,15,hazardous_disposal_tonnes,cadmium_air_kg,15,-0.36928481968009247,0.36928481968009247
ACT,15,hazardous_disposal_tonnes,cadmium_water_kg,15,-0.11195392159293097,0.11195392159293097
ACT,15,hazardous_disposal_tonnes,cadmium_land_kg,15,0.4258510258816155,0.4258510258816155
ACT,15,hazardous_disposal_tonnes,nickel_air_kg,15,0.04390545334765152,0.04390545334765152
ACT,15,hazardous_disposal_tonnes,nickel_water_kg,15,-0.15874667348869131,0.15874667348869131
ACT,15,hazardous_disposal_tonnes,nickel_land_kg,15,0.4138692815082123,0.4138692815082123
ACT,15,hazardous_disposal_tonnes,chromium_air_kg,15,0.05732045691658712,0.05732045691658712
ACT,15,hazardous_disposal_tonnes,chromium_water_kg,15,-0.12139191164323283,0.12139191164323283
ACT,15,hazardous_disposal_tonnes,chromium_land_kg,15,0.40848827725512066,0.40848827725512066
ACT,15,hazardous_disposal_tonnes,copper_air_kg,15,-0.1382134559725861,0.1382134559725861
ACT,15,hazardous_disposal_tonnes,copper_water_kg,15,-0.1205837477506791,0.1205837477506791
ACT,15,hazardous_disposal_tonnes,copper_land_kg,15,0.33681517009350176,0.33681517009350176
ACT,15,hazardous_disposal_tonnes,zinc_air_kg,15,0.0790543759397671,0.0790543759397671
