state,ewaste_proxy_tonnes,hazardous_recycling_tonnes,hazardous_disposal_tonnes,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,lead_air_kg,lead_water_kg,lead_land_kg,mercury_air_kg,mercury_water_kg,mercury_land_kg,cadmium_air_kg,cadmium_water_kg,cadmium_land_kg,nickel_air_kg,nickel_water_kg,nickel_land_kg,chromium_air_kg,chromium_water_kg,chromium_land_kg,copper_air_kg,copper_water_kg,copper_land_kg,zinc_air_kg,zinc_water_kg,zinc_land_kg,tvoc_air_kg,tvoc_water_kg,tvoc_land_kg,pm10_air_kg,pm10_water_kg,pm10_land_kg,pm25_air_kg,pm25_water_kg,pm25_land_kg
ACT,4167487.6612309306,629011.7600265879,3387650.513614613,9708022.127940556,11766770.39356291,7154.976787690485,351.0870162131404,990.0999999999999,1.0724787852971698,64.84493138530301,159.04,0.002795035859973,45.76355849362137,3.0514,0.0606508840660376,199.17743286714045,446.4,0.7434597536590296,251.54113639320502,77.6457,0.2635035939973044,258.67173259017824,576.7347,0.2509532173975741,298.4171650024829,950.2,2.941041012636119,657162.8650373268,0.0,0.0,1315301.3578439998,0.0,0.0,96418.37409903176,0.0,0.0
NSW,151449798.9637212,35605748.60424272,110046505.02654071,12738464822.98694,596896665.9511783,12566850.033901334,487879.00366580125,4280.090607285751,500551.41696981713,10184.07301832511,576.715331752575,125.99545948852746,11421.229826911558,109.1458951022,145.277608024657,124084.32921395072,201037.8095486156,4074.889596890002,187617.65680086045,6842.594637071,396007.3899112126,941990.9990838934,453627.5443302068,128406.12567863251,1634767.5171433105,2048705.9793598743,901333.6803510266,149085371.32921392,175827.7,462.5,1737634756.4485881,0.0,0.0,66658623.84318207,0.0,0.0
NT,3630894.610405149,1753300.186827744,1694657.2951766467,1020860719.2857116,16393714.311531592,332992.6769025932,418507.24495321745,1803.003559635856,464.56097077549936,2710.5050024817465,20.21802099025722,14.30558510536507,5153.234859651088,198.32101627434437,34.244155193201294,82696.40835414923,7895.610932302464,1829.4588762655708,58770.47143796533,3713.7731471816705,400.69331386783836,85393.93515379878,4049.483845438547,1630.7785895695501,1779911.4473609356,15883.756840633514,5978.196794277921,50774487.55595647,84290.39999961853,65.51999961785972,196347855.26989642,0.0,0.0,15948622.566407975,0.0,0.0
QLD,150868970.9681474,54013583.9671833,94191713.89715117,18024448336.609768,60361921.33532545,19771493.118435267,2464210.0094777076,3255.521938887593,3124.7662698857275,25556.66076754894,503.2334051012038,30.55143587457814,106294.26637556052,3688.000195245704,991.663207388503,884232.1564656441,19301.554393269467,9384.958169704547,792521.1121180245,7132.981275721353,21325.589700755954,3012398.3743256233,18560.482268429165,77348.03760223358,5368765.098911587,393641.0060696296,93148.48825771743,263301662.14613044,362600.5,3232.0270002,4266090791.2973013,0.0,0.0,164887033.34123605,0.0,0.0
SA,37997816.67196362,18278579.746473804,18030168.95459767,3687413918.4390526,50931121.979428,10997242.04620146,901161.8549517941,130948.57996291999,15810.864255117627,5072.941604213068,176.470248882,73.37709546963715,46357.67442547144,11552.435405,680.4919084082004,90909.54622929147,10601.03740582,3224.4009297416114,150843.5355600649,20322.826088820002,1380.8129225767157,570158.9653449518,385589.5178263,2923.6765648996943,1013907.686880591,439942.7109493308,1272.718448587446,163228554.7172394,4232.2,80.04693679511999,398686629.59181243,0.0,0.0,21283004.434731178,0.0,0.0
TAS,27273799.37587392,20663459.586772263,6304327.009467908,1072042968.0945005,49037203.60673159,2568469.792160401,105133.87638974667,136814.96988398297,5747.71681195999,779.1084344027756,502.2342856183196,4.47767956865022,2078.317379093926,22469.49134810083,8.622446769800954,154634.6990740807,126258.80049405512,538.6130919410126,55780.513123700366,7203.428761178444,1552.9760127557095,51319.15122924603,464600.2028922758,19836.651745287534,721415.8120842022,2375721.4142707777,26991.00218746005,25615943.95869378,241498.5,165631.4619998932,41573668.34813418,0.0,0.0,5981308.457905146,0.0,0.0
VIC,110823663.62114234,41673641.83775334,65195027.14990479,5941867665.125464,156445207.68579498,13100366.16940596,71727.40675140332,13309.441618714,2343.8864285244945,15309.486683879903,432.143429922,51.291425980609446,7324.010632407064,1977.9954734,197.04762517306926,103788.74306060886,69309.2359605,5442.821474066443,56940.72302779687,14317.84725296,5077.646384654568,36896.94768264761,48497.91214,37179.542352077784,232235.78995132493,181052.17187,71843.62847431649,218461601.03208327,0.0,0.0,285308126.7776758,0.0,0.0,61734987.58517079,0.0,0.0
WA,54676651.45868696,35681507.82683695,16830841.059428368,13250058624.981697,117965703.94350527,31150093.723430537,417193.1288939588,84286.43784970089,29188.891725111203,82942.61023768247,346.65397312064255,737.6251342115371,26568.765511113917,7803.282264524149,1690.340762092374,4334211.462993061,95723.65581254872,198453.76264637115,3726434.8479116387,28387.640708612216,249864.17699949312,1134017.5506276896,95234.66521186697,75479.39381667766,1316730.119562839,324889.44328143296,72342.91192085439,665177554.5910233,207065.54330609,14281.749338800266,5102904047.905865,0.0,0.0,97286893.19465491,0.0,0.0
