state,year_label,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,lead_air_kg,lead_water_kg,lead_land_kg,mercury_air_kg,mercury_water_kg,mercury_land_kg,cadmium_air_kg,cadmium_water_kg,cadmium_land_kg,nickel_air_kg,nickel_water_kg,nickel_land_kg,chromium_air_kg,chromium_water_kg,chromium_land_kg,copper_air_kg,copper_water_kg,copper_land_kg,zinc_air_kg,zinc_water_kg,zinc_land_kg,tvoc_air_kg,tvoc_water_kg,tvoc_land_kg,pm10_air_kg,pm10_water_kg,pm10_land_kg,pm25_air_kg,pm25_water_kg,pm25_land_kg
ACT,1998-1999,185871.6943,832830.8,7.0,780.04,0.0,0.0,133.52,0.0,0.0,98.03,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20035.13,0.0,0.0,7508.6,0.0,0.0,0.0,0.0,0.0
ACT,1999-2000,613924.241399,843047.8151661241,74.1,205.83522,14.600000773,0.0,245.51932,4.9000000073,0.0,122.77850000000001,3.200000172,0.0,62.929,208.00000212,0.0,25.803819999999998,19.004500736,21.6,5.353689999999999,277.001900663,12.8,0.0,507.0000084,0.0,196997.5,10.7,10.7,33652.8,0.0,0.0,0.0,0.0,0.0
ACT,2000-2001,467450.4188402,859731.3679,1205.7031,51.6479,14.63,0.019,87.4641,0.0,0.0,41.3280047,3.42,0.0034,14.1840311,194.82,0.1999,0.7606999999999999,20.0045,21.6,2.9167,724.1319,13.279,0.45,429.7,0.559,121032.73,166576.7,246.7,10553.0206,0.0,0.0,0.0,0.0,0.0
ACT,2001-2002,878533.357996101,732197.8693,18.63113,84.1025,14.7914,0.0238,3.0515,0.0,0.0,8.004,1.379,0.00233,2.6772,515.7090000000001,0.778,1.6994099999999999,8.0,0.0,0.01129,291.193,0.3758,28.73,237.707,0.8369,306315.839104,0.0,0.0,11127.1,0.0,0.0,0.0,0.0,0.0
ACT,2002-2003,1602508.8293973072,796249.850001292,1379.0377998092652,67.2527,5.676,0.01,12.907,0.1000000014901161,0.0,5.065,1.9030000029802323,0.003,6.92,221.54999980926513,0.389,5.595859999995957,4.599999904632568,0.0,0.01022000000171829,246.96799923706055,0.373,0.33,271.52000038146974,0.466,118873.58195574951,141.54999980926516,11.31299980926514,259067.9780024414,0.0,0.0,0.0,0.0,0.0
ACT,2003-2004,1598836.2109711126,1194050.5749977552,2345.411999809265,112.67496980914743,0.4070000059604645,0.009,1.4280600544574114,2.200000047683716,0.0,27.275999992683527,1.0,0.0,5.565700117361546,198.25,167.75,8.12971002859909,6.110000133514404,0.0,2.9435000953078276,202.55399923706054,0.315,1.3999999940395356,15.19999980926514,0.0,109955.83219970703,243.11199980926514,11.56999980926514,263706.8200006104,0.0,0.0,0.0,0.0,0.0
ACT,2004-2005,1828772.5613066729,1365083.2962169219,12466.880599809265,46.42128974856064,6.09,0.0104,5.814589994961247,0.2000000029802322,0.0,4.813739997294546,1.6000000029802321,0.002,5.656200161468982,158.89000038146972,0.259,6.969829884035794,13.40000057220459,0.0,2.696699906301498,140.45000038146972,0.23199999999999998,0.44759999403953554,387.2599992370605,0.67,114335.5489941597,10.69999980926514,10.69999980926514,313916.5309957886,0.0,0.0,0.0,0.0,0.0
ACT,2005-2006,1924929.3574108146,819132.4300001145,59.360001564025886,35.611700152684,0.6,0.0,2.465399944057316,0.3,0.0,5.70100024870038,0.2,0.0,11.091999880999326,28.0,0.0,8.369700091663749,6.2,0.0,3.4978000941425567,28.0,0.0,1.250000013113022,25.0,0.0,88120.08057617188,0.0,0.0,327361.702003479,0.0,0.0,0.0,0.0,0.0
ACT,2006-2007,1775291.6734682675,800357.3900002956,57.75000071525574,49.24549834057688,0.7,0.0,5.25690005836077,0.3,0.0,5.564000038430095,0.2,0.0,9.022999910637736,30.7,0.0,9.762500008568168,6.8,0.0,2.271900048479438,44.4,0.0,0.3100000023841858,23.9,0.0,71306.62287902832,0.0,0.0,312611.2920074463,0.0,0.0,0.0,0.0,0.0
ACT,2007-2008,442253.8902272703,774425.35,61.0,18.994191188600002,0.6,0.0,4.99460689629,0.3,0.0,2.2434953971000002,0.2,0.0,0.8018777743,34.6,0.0,0.64814750135,6.8,0.0,6.7463998028,22.0,0.0,4.2659933445,31.5,0.0,95122.19594089,0.0,0.0,11470.008818,0.0,0.0,3562.269568,0.0,0.0
ACT,2008-2009,366057.03928980074,877918.11,261.34000000000003,22.5963250276,0.3,0.0,3.15112454209,0.1,0.0,3.6922693391,0.1,0.0,0.9349203943,25.0,0.0,0.54024299435,2.8,0.0,13.0741078248,19.4,0.0,5.5391494645,14.0,0.0,76583.815043,0.0,0.0,15778.616919999999,0.0,0.0,5113.28392,0.0,0.0
ACT,2009-2010,355105.4329293089,628213.37,68.96,6.468603788495,0.2,0.0,3.6907313372955,0.1,0.0,1.9371896490450002,0.1,0.0,8.790605464985,14.0,0.0,6.6374305195825,2.4,0.0,6.85883569506,21.0,0.0,6.710704708275,31.0,0.0,45590.696770625465,0.0,0.0,7901.668954,0.0,0.0,5391.147244,0.0,0.0
