waste_metric,pollutant_metric,n_states_used,pearson_corr,abs_pearson_corr
hazardous_recycling_tonnes,pm25_air_kg,8,0.8768361004566848,0.8768361004566848
hazardous_recycling_tonnes,total_air_emission_kg,8,0.8668386106392524,0.8668386106392524
hazardous_recycling_tonnes,mercury_water_kg,8,0.7927150824591245,0.7927150824591245
hazardous_recycling_tonnes,total_land_emission_kg,8,0.7545378410918088,0.7545378410918088
hazardous_recycling_tonnes,copper_land_kg,8,0.7285155469218081,0.7285155469218081
hazardous_recycling_tonnes,copper_air_kg,8,0.7188346671600161,0.7188346671600161
hazardous_recycling_tonnes,pm10_air_kg,8,0.6642475587415521,0.6642475587415521
hazardous_recycling_tonnes,cadmium_air_kg,8,0.6153497514218559,0.6153497514218559
hazardous_recycling_tonnes,tvoc_water_kg,8,0.5840761240383495,0.5840761240383495
hazardous_recycling_tonnes,lead_air_kg,8,0.5694642121796881,0.5694642121796881
hazardous_recycling_tonnes,zinc_air_kg,8,0.5676790127724624,0.5676790127724624
hazardous_recycling_tonnes,tvoc_air_kg,8,0.5635973130037629,0.5635973130037629
hazardous_recycling_tonnes,cadmium_land_kg,8,0.5206988641450148,0.5206988641450148
hazardous_recycling_tonnes,mercury_air_kg,8,0.47204581591811534,0.47204581591811534
hazardous_recycling_tonnes,chromium_water_kg,8,0.3783262917899931,0.3783262917899931
hazardous_recycling_tonnes,total_water_emission_kg,8,0.3725726497016813,0.3725726497016813
hazardous_recycling_tonnes,nickel_water_kg,8,0.3686213256101217,0.3686213256101217
hazardous_recycling_tonnes,chromium_air_kg,8,0.34016507202073276,0.34016507202073276
hazardous_recycling_tonnes,chromium_land_kg,8,0.33704527860931155,0.33704527860931155
hazardous_recycling_tonnes,nickel_air_kg,8,0.3322521238164759,0.3322521238164759
hazardous_recycling_tonnes,zinc_land_kg,8,0.3116043293139654,0.3116043293139654
hazardous_recycling_tonnes,mercury_land_kg,8,0.2721652816540228,0.2721652816540228
hazardous_recycling_tonnes,nickel_land_kg,8,0.24239726233783834,0.24239726233783834
hazardous_recycling_tonnes,lead_land_kg,8,0.21648281946980635,0.21648281946980635
hazardous_recycling_tonnes,zinc_water_kg,8,0.16004454939110724,0.16004454939110724
hazardous_recycling_tonnes,tvoc_land_kg,8,-0.08558726270902975,0.08558726270902975
hazardous_recycling_tonnes,lead_water_kg,8,-0.08290006490242575,0.08290006490242575
hazardous_recycling_tonnes,copper_water_kg,8,0.03325887332764964,0.03325887332764964
hazardous_recycling_tonnes,cadmium_water_kg,8,-0.004656922819434927,0.004656922819434927
hazardous_recycling_tonnes,pm10_land_kg,8,,
hazardous_recycling_tonnes,pm10_water_kg,8,,
hazardous_recycling_tonnes,pm25_land_kg,8,,
hazardous_recycling_tonnes,pm25_water_kg,8,,
