report_year,state,metal,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,facility_count
2002/2003,ACT,Lead,67.2527,5.676,0.01,4
2002/2003,ACT,Mercury,12.907,0.1000000014901161,0,4
2002/2003,NSW,Cadmium,1323.6733125,851.6100328,243.32457,148
2002/2003,NSW,Lead,38191.9842548,3627.411015,6723.079,193
2002/2003,NSW,Mercury,1605.8574269,12.24067176,39.232479999999995,157
2002/2003,NT,Cadmium,136.97870096713186,28.170101251787855,0.7138544459120019,26
2002/2003,NT,Lead,14553.433721696145,26.56003514677286,10.195849056682922,31
2002/2003,NT,Mercury,29.860933632652248,0.6808120721912927,0.0385606926988635,24
2002/2003,QLD,Cadmium,7830.3728000176,100.7656,500.9182,249
2002/2003,QLD,Lead,402550.556800008,910.891,40610.3079,267
2002/2003,QLD,Mercury,2504.9826293041997,17.1477,4.0662848,242
2002/2003,SA,Cadmium,3381.5186968654148,528.8500007658452,0.9604999997420232,81
2002/2003,SA,Lead,55008.01487485127,4381.129999241531,1.0519999981774013,87
2002/2003,SA,Mercury,790.2494288723246,42.16000002317131,0.0569999999515708,77
2002/2003,TAS,Cadmium,80.67811560122169,926.8336703239474,1.0209084516245637,48
2002/2003,TAS,Lead,3645.9055123418902,5138.810599973425,279.00201561301947,50
2002/2003,TAS,Mercury,434.7049520920947,43.74807137010067,0.0095002910311447,46
2002/2003,VIC,Cadmium,424.6598,243.98,112.8115361,200
2002/2003,VIC,Lead,6472.8013,641.9,2754.852013,217
2002/2003,VIC,Mercury,217.38836,57.934000000000005,10.120355721,204
2002/2003,WA,Cadmium,1194.769643766603,220.7784989353493,792.67292619151,153
2002/2003,WA,Lead,70166.73610731059,1516.4195603400528,1485.425176190027,179
2002/2003,WA,Mercury,2371.0304934578426,47.75779692778678,25.738543265781058,146
2003/2004,ACT,Cadmium,27.275999992683527,1,0,7
2003/2004,ACT,Lead,112.67496980914744,0.4070000059604645,0.009,8
2003/2004,ACT,Mercury,1.4280600544574114,2.200000047683716,0,7
2003/2004,NSW,Cadmium,777.0892718,522.8015129,5.055700000000001,161
2003/2004,NSW,Lead,21896.95367735,3489.4394355,50.838,194
2003/2004,NSW,Mercury,1737.10680235,3.3956218,0.2595,159
2003/2004,NT,Cadmium,71.29046045485616,37.33599999865889,3.4143795779696906,33
2003/2004,NT,Lead,3014.6049425770057,66.61,51.93152377562542,32
2003/2004,NT,Mercury,27.25650955929641,1.0230819986588953,0.9264045744556816,30
2003/2004,QLD,Cadmium,6810.1725,154.853904,329.6512246,274
2003/2004,QLD,Lead,279309.1421,4104.0442,655.3138246,294
2003/2004,QLD,Mercury,1586.4329073,55.46229999999999,6.6797518,246
2003/2004,SA,Cadmium,3272.520391060296,733.071700591594,0.047282821615226,78
2003/2004,SA,Lead,50675.8539666878,5842.637210004032,136.13529617999166,84
2003/2004,SA,Mercury,146.27313031290936,29.180006622053497,0.0184648096129077,79
2003/2004,TAS,Cadmium,97.69445179875196,1282.7526866541011,0.2235186581965533,46
2003/2004,TAS,Lead,2506.555732780695,14577.944893624634,1.140933987684548,50
2003/2004,TAS,Mercury,166.45540849873404,44.280072232046216,0.0108593708791882,45
2003/2004,VIC,Cadmium,313.40076,229.266,124.00709660679,202
2003/2004,VIC,Lead,4277.1975999999995,557.99,1685.4340880306,218
2003/2004,VIC,Mercury,163.6619047,50.158,44.128980000291,208
2003/2004,WA,Cadmium,1760.6277293314254,265.09683562368156,1237.455838337639,166
2003/2004,WA,Lead,44415.93229152164,2408.6501694738645,1528.4363132776691,204
2003/2004,WA,Mercury,2575.856533650869,33.21163167460821,595.878793456173,165
2004/2005,ACT,Cadmium,4.813739997294545,1.600000002980232,0.002,6
2004/2005,ACT,Lead,46.42128974856064,6.09,0.0104,6
2004/2005,ACT,Mercury,5.814589994961247,0.2000000029802322,0,7
2004/2005,NSW,Cadmium,565.7131358,3.1870963000000003,0.6718,168
2004/2005,NSW,Lead,18222.18847699,277.3526475,69.305,206
2004/2005,NSW,Mercury,1848.02431142,0.47465,0.1326,166
2004/2005,NT,Cadmium,155.31575027345917,29.06469999998808,4.485312284018757,24
2004/2005,NT,Lead,19129.06174079328,49.019999980926514,146.6967146432082,24
2004/2005,NT,Mercury,191.85441144725604,0.763799999654293,3.3902576975189502,21
2004/2005,QLD,Cadmium,8512.6088,80.2803,236.5640095,282
2004/2005,QLD,Lead,370705.4646,356.7792,610.2999095,302
2004/2005,QLD,Mercury,1977.3896558,4.619258599999999,3.35086868,252
2004/2005,SA,Cadmium,3446.342482043812,741.5900013726205,1.808420691665448,74
2004/2005,SA,Lead,52032.31344319809,6272.869999848008,389.8380175918887,78
2004/2005,SA,Mercury,167.4108715779617,37.59999989286065,0.0262588407399496,78
2004/2005,TAS,Cadmium,106.54068222672906,1082.0536083963234,0.2081665033474562,40
