state_scope,state_full_name,provider_name,search_query,source_type,verification_level,place_id,display_name,formatted_address,suburb,state,postcode,latitude,longitude,national_phone_number,website_uri,google_maps_uri,business_status,primary_type,types,accepted_items,note,in_state_bbox,passes_name_filter,passes_state_filter,confidence_score,keep,data_quality_status,corrected_source_type,corrected_accepted_items,quality_reason,final_keep,manual_review_required
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJR3i8UpZKFmsRnpLwVv6bj-s,ALDI,"36 Benham St, Chisholm ACT 2905, Australia",36 Benham St,ACT,2905,-35.414606899999995,149.1290818,13 25 34,https://www.aldi.com.au/storelocator/l/chisholm/36-benham-street/g508,https://maps.google.com/?cid=16973957037265293982&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJ46oMTXJVFmsRSMbDcrhNneE,ALDI,"Unit 12 Pioneer St, Amaroo ACT 2914, Australia",Unit 12 Pioneer St,ACT,2914,-35.1651648,149.1325023,13 25 34,https://www.aldi.com.au/storelocator/l/amaroo/12-pioneer-street/g571,https://maps.google.com/?cid=16257235684472112712&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJ5_vKHSjLF2sRKan3eNUC6pE,ALDI,"9 Sidney Nolan St, Conder ACT 2906, Australia",9 Sidney Nolan St,ACT,2906,-35.4566781,149.0936532,13 25 34,https://www.aldi.com.au/storelocator/l/conder/9-sidney-nolan-street/g473,https://maps.google.com/?cid=10514219395930630441&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Apple,Apple Store ACT Australia,brand_store_takeback,official_brand_takeback,ChIJk98782VNFmsRhFJImhhraIQ,Apple Canberra,"Canberra Centre, 148 Bunda St, Canberra ACT 2601, Australia",148 Bunda St,ACT,2601,-35.2804193,149.1337271,(02) 6224 9500,https://www.apple.com/au/retail/canberra?cid=aos-au-seo-maps,https://maps.google.com/?cid=9540993563996213892&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,electronics_store,electronics_store|store|point_of_interest|service|establishment,"Apple devices, selected accessories, batteries and packaging; trade-in or recycling options may vary",Brand official take-back/trade-in candidate. Branch-level service should be verified.,True,True,True,1.0,True,verified_brand_takeback,brand_takeback_store,Apple devices and accessories; trade-in or recycling program; verify store availability,Apple Store style result matched brand take-back rule.,True,False
ACT,Australian Capital Territory,Bunnings,Bunnings battery recycling ACT Australia,battery_drop_off,official_battery_dropoff_but_branch_check_recommended,ChIJ5YHe5HutF2sRvhUdZh38qac,Bunnings Belconnen,"15 Lathlain St, Belconnen ACT 2617, Australia",15 Lathlain St,ACT,2617,-35.244484799999995,149.0638128,(02) 6228 6000,https://www.bunnings.com.au/stores/act/belconnen?utm_source=google&utm_medium=places&utm_content=bunnings-belconnen&utm_campaign=googleplaces,https://maps.google.com/?cid=12081464678595499454&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,home_improvement_store,home_improvement_store|hardware_store|garden_center|building_materials_store|furniture_store|home_goods_store|general_contractor|store|point_of_interest|service|establishment,used household batteries only; not a general e-waste provider,Battery-only retail drop-off candidate.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Bunnings,Bunnings battery recycling ACT Australia,battery_drop_off,official_battery_dropoff_but_branch_check_recommended,ChIJs8XJwKtNFmsR6wigjLsr51I,Bunnings Canberra Airport,"971 Majura Rd, Majura Park ACT 2609, Australia",971 Majura Rd,ACT,2609,-35.293175,149.191257,(02) 6234 9300,https://www.bunnings.com.au/stores/act/canberra-airport?utm_source=google&utm_medium=places&utm_content=bunnings-canberra-airport&utm_campaign=googleplaces,https://maps.google.com/?cid=5973791515248429291&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,home_improvement_store,home_improvement_store|garden_center|hardware_store|building_materials_store|furniture_store|home_goods_store|general_contractor|service|point_of_interest|store|establishment,used household batteries only; not a general e-waste provider,Battery-only retail drop-off candidate.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Bunnings,Bunnings battery recycling ACT Australia,battery_drop_off,official_battery_dropoff_but_branch_check_recommended,ChIJ71UEODdMFmsRAiqPhD1ynrM,Bunnings Fyshwick,"Corner Collie &, Newcastle St, Fyshwick ACT 2609, Australia",Newcastle St,ACT,2609,-35.3314594,149.1788508,(02) 6206 2700,https://www.bunnings.com.au/stores/act/fyshwick?utm_source=google&utm_medium=places&utm_content=bunnings-fyshwick&utm_campaign=googleplaces,https://maps.google.com/?cid=12942907987651930626&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,home_improvement_store,home_improvement_store|hardware_store|garden_center|building_materials_store|furniture_store|home_goods_store|general_contractor|store|point_of_interest|service|establishment,used household batteries only; not a general e-waste provider,Battery-only retail drop-off candidate.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Bunnings,Bunnings battery recycling ACT Australia,battery_drop_off,official_battery_dropoff_but_branch_check_recommended,ChIJo4MO1ZhUFmsRNJUFRajBj_g,Bunnings Gungahlin,"10 Gribble St, Gungahlin ACT 2912, Australia",10 Gribble St,ACT,2912,-35.1838713,149.1303139,(02) 6123 0000,https://www.bunnings.com.au/stores/act/gungahlin?utm_source=google&utm_medium=places&utm_content=bunnings-gungahlin&utm_campaign=googleplaces,https://maps.google.com/?cid=17910747171532412212&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,home_improvement_store,home_improvement_store|garden_center|hardware_store|building_materials_store|furniture_store|home_goods_store|general_contractor|service|point_of_interest|store|establishment,used household batteries only; not a general e-waste provider,Battery-only retail drop-off candidate.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Bunnings,Bunnings battery recycling ACT Australia,battery_drop_off,official_battery_dropoff_but_branch_check_recommended,ChIJQ_3jinJTFmsRmq27OfzDeiw,Bunnings Trade Centre Mitchell,"92-94 Vicars St, Mitchell ACT 2911, Australia",92-94 Vicars St,ACT,2911,-35.2092473,149.14003190000005,(02) 6123 2100,https://trade.bunnings.com.au/stores/act/mitchell-trade-centre?utm_source=google&utm_medium=places&utm_content=mitchell-trade-centre&utm_campaign=googleplaces,https://maps.google.com/?cid=3205089572895305114&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only retail drop-off candidate.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Bunnings,Bunnings battery recycling ACT Australia,battery_drop_off,official_battery_dropoff_but_branch_check_recommended,ChIJ-UEjcZDKF2sR1X5sPZU-cmA,Bunnings Tuggeranong,"Anketell St, Greenway ACT 2900, Australia",Anketell St,ACT,2900,-35.4218444,149.0711101,(02) 6234 2000,https://www.bunnings.com.au/stores/act/tuggeranong?utm_source=google&utm_medium=places&utm_content=bunnings-tuggeranong&utm_campaign=googleplaces,https://maps.google.com/?cid=6949685985687666389&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,home_improvement_store,home_improvement_store|garden_center|hardware_store|building_materials_store|general_contractor|furniture_store|home_goods_store|store|point_of_interest|service|establishment,used household batteries only; not a general e-waste provider,Battery-only retail drop-off candidate.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
