emissions_metric,health_metric,n_state_year_pairs,pearson_corr,abs_pearson_corr
copper_air_kg,deaths,40,0.43183178793748483,0.43183178793748483
copper_water_kg,deaths,40,0.4121330150349606,0.4121330150349606
pm25_air_kg,deaths,40,0.41195933663630036,0.41195933663630036
zinc_air_kg,deaths,40,0.3959086273180133,0.3959086273180133
mercury_air_kg,deaths,40,0.32487925706758947,0.32487925706758947
cadmium_water_kg,deaths,40,-0.32193779351590873,0.32193779351590873
lead_water_kg,deaths,40,-0.3110548698684436,0.3110548698684436
cadmium_air_kg,deaths,40,0.2643460700529014,0.2643460700529014
chromium_water_kg,deaths,40,-0.23942886344756242,0.23942886344756242
lead_air_kg,deaths,40,0.23680182565206634,0.23680182565206634
total_land_emission_kg,deaths,40,0.19522742628372391,0.19522742628372391
pm10_air_kg,deaths,40,0.17061614970960925,0.17061614970960925
mercury_land_kg,deaths,40,0.16458413538558977,0.16458413538558977
copper_land_kg,deaths,40,0.16192112197239433,0.16192112197239433
mercury_water_kg,deaths,40,0.11415076692229408,0.11415076692229408
nickel_air_kg,deaths,40,-0.06787033959713198,0.06787033959713198
nickel_land_kg,deaths,40,-0.06472641748850252,0.06472641748850252
tvoc_air_kg,deaths,40,0.062373940581866905,0.062373940581866905
nickel_water_kg,deaths,40,0.05139182136621417,0.05139182136621417
cadmium_land_kg,deaths,40,-0.04940293446405126,0.04940293446405126
zinc_water_kg,deaths,40,-0.047120028725005106,0.047120028725005106
chromium_air_kg,deaths,40,-0.04655453720218859,0.04655453720218859
pm10_land_kg,deaths,40,,
pm10_water_kg,deaths,40,,
pm25_land_kg,deaths,40,,
pm25_water_kg,deaths,40,,
tvoc_land_kg,deaths,40,,
tvoc_water_kg,deaths,40,,
chromium_water_kg,median_age,40,-0.565227901982807,0.565227901982807
copper_water_kg,median_age,40,0.35299941867185025,0.35299941867185025
zinc_water_kg,median_age,40,0.29106339167334433,0.29106339167334433
total_water_emission_kg,median_age,40,0.2749319168636687,0.2749319168636687
nickel_water_kg,median_age,40,0.2625536878544145,0.2625536878544145
cadmium_air_kg,median_age,40,0.2591467311285892,0.2591467311285892
mercury_air_kg,median_age,40,0.25624282493218165,0.25624282493218165
total_land_emission_kg,median_age,40,0.2459977969187039,0.2459977969187039
lead_water_kg,median_age,40,0.244631774996988,0.244631774996988
copper_air_kg,median_age,40,0.23382453068182735,0.23382453068182735
cadmium_water_kg,median_age,40,0.23122854486471353,0.23122854486471353
total_air_emission_kg,median_age,40,0.22586676858624655,0.22586676858624655
cadmium_land_kg,median_age,40,0.19945853318797044,0.19945853318797044
pm25_air_kg,median_age,40,0.18994269786774046,0.18994269786774046
zinc_land_kg,median_age,40,0.18858479745609374,0.18858479745609374
chromium_land_kg,median_age,40,0.18567047250534133,0.18567047250534133
lead_land_kg,median_age,40,0.17346664830128528,0.17346664830128528
copper_land_kg,median_age,40,0.14514470765561494,0.14514470765561494
pm10_air_kg,median_age,40,0.13027295336716424,0.13027295336716424
nickel_air_kg,median_age,40,0.10786943785463043,0.10786943785463043
mercury_land_kg,median_age,40,0.10372356491125372,0.10372356491125372
chromium_air_kg,median_age,40,0.0975507352501169,0.0975507352501169
zinc_air_kg,median_age,40,0.08790650920251165,0.08790650920251165
lead_air_kg,median_age,40,0.07011818908137214,0.07011818908137214
nickel_land_kg,median_age,40,0.06865421140216948,0.06865421140216948
tvoc_air_kg,median_age,40,0.06188405359792595,0.06188405359792595
mercury_water_kg,median_age,40,0.051537523096687785,0.051537523096687785
pm10_land_kg,median_age,40,,
pm10_water_kg,median_age,40,,
pm25_land_kg,median_age,40,,
pm25_water_kg,median_age,40,,
tvoc_land_kg,median_age,40,,
tvoc_water_kg,median_age,40,,
chromium_water_kg,pad_asr_per_100000,40,0.5916826466504945,0.5916826466504945
copper_water_kg,pad_asr_per_100000,40,-0.2834272101132286,0.2834272101132286
mercury_air_kg,pad_asr_per_100000,40,-0.27234526955981103,0.27234526955981103
total_water_emission_kg,pad_asr_per_100000,40,-0.26883409475896636,0.26883409475896636
total_land_emission_kg,pad_asr_per_100000,40,-0.25579620884428594,0.25579620884428594
copper_air_kg,pad_asr_per_100000,40,-0.24607250773855435,0.24607250773855435
total_air_emission_kg,pad_asr_per_100000,40,-0.2326211838508598,0.2326211838508598
cadmium_air_kg,pad_asr_per_100000,40,-0.22095475002028703,0.22095475002028703
pm25_air_kg,pad_asr_per_100000,40,-0.20324194389978462,0.20324194389978462
chromium_land_kg,pad_asr_per_100000,40,-0.1984879665615075,0.1984879665615075
zinc_land_kg,pad_asr_per_100000,40,-0.1825842547451073,0.1825842547451073
cadmium_land_kg,pad_asr_per_100000,40,-0.18183658736645758,0.18183658736645758
lead_land_kg,pad_asr_per_100000,40,-0.16811899941659147,0.16811899941659147
pm10_air_kg,pad_asr_per_100000,40,-0.15697776884256057,0.15697776884256057
nickel_water_kg,pad_asr_per_100000,40,-0.15202902530535498,0.15202902530535498
nickel_air_kg,pad_asr_per_100000,40,-0.13546396315474793,0.13546396315474793
chromium_air_kg,pad_asr_per_100000,40,-0.12490603307108476,0.12490603307108476
copper_land_kg,pad_asr_per_100000,40,-0.12457372725000941,0.12457372725000941
zinc_water_kg,pad_asr_per_100000,40,-0.12006361467025664,0.12006361467025664
lead_water_kg,pad_asr_per_100000,40,-0.10692680093011427,0.10692680093011427
mercury_land_kg,pad_asr_per_100000,40,-0.10599235814531034,0.10599235814531034
cadmium_water_kg,pad_asr_per_100000,40,-0.09804623888361597,0.09804623888361597
zinc_air_kg,pad_asr_per_100000,40,-0.09035492046322514,0.09035492046322514
tvoc_air_kg,pad_asr_per_100000,40,-0.08287768867497339,0.08287768867497339
mercury_water_kg,pad_asr_per_100000,40,0.0742266183420514,0.0742266183420514
nickel_land_kg,pad_asr_per_100000,40,-0.07415851092152169,0.07415851092152169
lead_air_kg,pad_asr_per_100000,40,-0.04883136423173744,0.04883136423173744
pm10_land_kg,pad_asr_per_100000,40,,
pm10_water_kg,pad_asr_per_100000,40,,
pm25_land_kg,pad_asr_per_100000,40,,
pm25_water_kg,pad_asr_per_100000,40,,
tvoc_land_kg,pad_asr_per_100000,40,,
tvoc_water_kg,pad_asr_per_100000,40,,
copper_water_kg,pad_percent,40,-0.5579078635214628,0.5579078635214628
chromium_water_kg,pad_percent,40,0.426402893820874,0.426402893820874
total_water_emission_kg,pad_percent,40,-0.35185511904647715,0.35185511904647715
cadmium_water_kg,pad_percent,40,-0.30923053359453845,0.30923053359453845
zinc_land_kg,pad_percent,40,-0.2781183959709303,0.2781183959709303
lead_land_kg,pad_percent,40,-0.26729019065561926,0.26729019065561926
lead_water_kg,pad_percent,40,-0.24874873204501238,0.24874873204501238
zinc_water_kg,pad_percent,40,-0.24583472113551608,0.24583472113551608
chromium_land_kg,pad_percent,40,-0.21669777404994323,0.21669777404994323
cadmium_air_kg,pad_percent,40,-0.2009151025548083,0.2009151025548083
tvoc_air_kg,pad_percent,40,0.1682982080644626,0.1682982080644626
chromium_air_kg,pad_percent,40,0.14297594641654313,0.14297594641654313
copper_air_kg,pad_percent,40,-0.13925268871619917,0.13925268871619917
cadmium_land_kg,pad_percent,40,-0.1342699364366252,0.1342699364366252
nickel_air_kg,pad_percent,40,0.1321428308200856,0.1321428308200856
nickel_land_kg,pad_percent,40,0.09325862855345647,0.09325862855345647
pm10_air_kg,pad_percent,40,0.08915762582225924,0.08915762582225924
lead_air_kg,pad_percent,40,-0.07511611305739634,0.07511611305739634
total_air_emission_kg,pad_percent,40,-0.07166249735526273,0.07166249735526273
mercury_air_kg,pad_percent,40,-0.03692411670420515,0.03692411670420515
nickel_water_kg,pad_percent,40,-0.03406125653457537,0.03406125653457537
mercury_water_kg,pad_percent,40,-0.03096313647797654,0.03096313647797654
copper_land_kg,pad_percent,40,0.010662256975060144,0.010662256975060144
pm25_air_kg,pad_percent,40,-0.01001955731645681,0.01001955731645681
mercury_land_kg,pad_percent,40,-0.008793912041601216,0.008793912041601216
zinc_air_kg,pad_percent,40,-0.004501241057151841,0.004501241057151841
total_land_emission_kg,pad_percent,40,-0.003982154347876905,0.003982154347876905
pm10_land_kg,pad_percent,40,,
pm10_water_kg,pad_percent,40,,
pm25_land_kg,pad_percent,40,,
pm25_water_kg,pad_percent,40,,
tvoc_land_kg,pad_percent,40,,
tvoc_water_kg,pad_percent,40,,
total_water_emission_kg,potential_years_of_life_lost,40,0.7609006301799364,0.7609006301799364
zinc_land_kg,potential_years_of_life_lost,40,0.6300596452652699,0.6300596452652699
lead_land_kg,potential_years_of_life_lost,40,0.5999750014108836,0.5999750014108836
chromium_land_kg,potential_years_of_life_lost,40,0.5866985935147834,0.5866985935147834
total_air_emission_kg,potential_years_of_life_lost,40,0.5744638793629405,0.5744638793629405
pm25_air_kg,potential_years_of_life_lost,40,0.509995350275117,0.509995350275117
copper_air_kg,potential_years_of_life_lost,40,0.4992895188987186,0.4992895188987186
zinc_air_kg,potential_years_of_life_lost,40,0.49040060036481864,0.49040060036481864
mercury_air_kg,potential_years_of_life_lost,40,0.4077912787949022,0.4077912787949022
cadmium_water_kg,potential_years_of_life_lost,40,-0.3716422552764133,0.3716422552764133
lead_water_kg,potential_years_of_life_lost,40,-0.3578653523847431,0.3578653523847431
copper_water_kg,potential_years_of_life_lost,40,0.3449063168948992,0.3449063168948992
cadmium_air_kg,potential_years_of_life_lost,40,0.3255727595265109,0.3255727595265109
lead_air_kg,potential_years_of_life_lost,40,0.3067023335069953,0.3067023335069953
pm10_air_kg,potential_years_of_life_lost,40,0.25342065441393047,0.25342065441393047
total_land_emission_kg,potential_years_of_life_lost,40,0.253258362763116,0.253258362763116
chromium_water_kg,potential_years_of_life_lost,40,-0.22974388387703149,0.22974388387703149
copper_land_kg,potential_years_of_life_lost,40,0.21395306027247193,0.21395306027247193
mercury_land_kg,potential_years_of_life_lost,40,0.20802211077256247,0.20802211077256247
tvoc_air_kg,potential_years_of_life_lost,40,0.12581702997032757,0.12581702997032757
zinc_water_kg,potential_years_of_life_lost,40,-0.1058061478179781,0.1058061478179781
mercury_water_kg,potential_years_of_life_lost,40,0.09462067691189596,0.09462067691189596
nickel_land_kg,potential_years_of_life_lost,40,-0.0427162688721679,0.0427162688721679
nickel_water_kg,potential_years_of_life_lost,40,0.03113152289019501,0.03113152289019501
cadmium_land_kg,potential_years_of_life_lost,40,-0.02576776754388582,0.02576776754388582
nickel_air_kg,potential_years_of_life_lost,40,-0.018945761967420337,0.018945761967420337
chromium_air_kg,potential_years_of_life_lost,40,0.007344605230122465,0.007344605230122465
pm10_land_kg,potential_years_of_life_lost,40,,
pm10_water_kg,potential_years_of_life_lost,40,,
pm25_land_kg,potential_years_of_life_lost,40,,
pm25_water_kg,potential_years_of_life_lost,40,,
tvoc_land_kg,potential_years_of_life_lost,40,,
tvoc_water_kg,potential_years_of_life_lost,40,,
total_water_emission_kg,potentially_avoidable_deaths,40,0.7641217642801055,0.7641217642801055
zinc_land_kg,potentially_avoidable_deaths,40,0.6344392352445701,0.6344392352445701
lead_land_kg,potentially_avoidable_deaths,40,0.6028957019289639,0.6028957019289639
chromium_land_kg,potentially_avoidable_deaths,40,0.5922001521111611,0.5922001521111611
total_air_emission_kg,potentially_avoidable_deaths,40,0.5756328016065576,0.5756328016065576
pm25_air_kg,potentially_avoidable_deaths,40,0.5102772771734915,0.5102772771734915
copper_air_kg,potentially_avoidable_deaths,40,0.5004319333464061,0.5004319333464061
zinc_air_kg,potentially_avoidable_deaths,40,0.49224222055876526,0.49224222055876526
mercury_air_kg,potentially_avoidable_deaths,40,0.4050689269672504,0.4050689269672504
cadmium_water_kg,potentially_avoidable_deaths,40,-0.36262383552177774,0.36262383552177774
copper_water_kg,potentially_avoidable_deaths,40,0.35058894867422913,0.35058894867422913
lead_water_kg,potentially_avoidable_deaths,40,-0.3467558805470708,0.3467558805470708
cadmium_air_kg,potentially_avoidable_deaths,40,0.32798461924055733,0.32798461924055733
lead_air_kg,potentially_avoidable_deaths,40,0.3074992024743085,0.3074992024743085
pm10_air_kg,potentially_avoidable_deaths,40,0.25271260437245263,0.25271260437245263
total_land_emission_kg,potentially_avoidable_deaths,40,0.2514672561949749,0.2514672561949749
chromium_water_kg,potentially_avoidable_deaths,40,-0.23490219155673295,0.23490219155673295
copper_land_kg,potentially_avoidable_deaths,40,0.22124978204455417,0.22124978204455417
mercury_land_kg,potentially_avoidable_deaths,40,0.20546700379823143,0.20546700379823143
tvoc_air_kg,potentially_avoidable_deaths,40,0.1222372415124487,0.1222372415124487
mercury_water_kg,potentially_avoidable_deaths,40,0.09865534455765344,0.09865534455765344
zinc_water_kg,potentially_avoidable_deaths,40,-0.08905188036249699,0.08905188036249699
nickel_land_kg,potentially_avoidable_deaths,40,-0.041512256591305544,0.041512256591305544
nickel_water_kg,potentially_avoidable_deaths,40,0.03925006614765443,0.03925006614765443
cadmium_land_kg,potentially_avoidable_deaths,40,-0.028560601176127947,0.028560601176127947
nickel_air_kg,potentially_avoidable_deaths,40,-0.021275211815493914,0.021275211815493914
chromium_air_kg,potentially_avoidable_deaths,40,0.005638936616602087,0.005638936616602087
pm10_land_kg,potentially_avoidable_deaths,40,,
pm10_water_kg,potentially_avoidable_deaths,40,,
pm25_land_kg,potentially_avoidable_deaths,40,,
pm25_water_kg,potentially_avoidable_deaths,40,,
tvoc_land_kg,potentially_avoidable_deaths,40,,
tvoc_water_kg,potentially_avoidable_deaths,40,,
total_water_emission_kg,premature_deaths,40,0.781731301921084,0.781731301921084
zinc_land_kg,premature_deaths,40,0.64963057812564,0.64963057812564
lead_land_kg,premature_deaths,40,0.6180640991862454,0.6180640991862454
chromium_land_kg,premature_deaths,40,0.5973961003606972,0.5973961003606972
total_air_emission_kg,premature_deaths,40,0.5456654747043481,0.5456654747043481
copper_air_kg,premature_deaths,40,0.4802210162198742,0.4802210162198742
pm25_air_kg,premature_deaths,40,0.47545128881923965,0.47545128881923965
zinc_air_kg,premature_deaths,40,0.46218831840905017,0.46218831840905017
copper_water_kg,premature_deaths,40,0.3797999383010836,0.3797999383010836
mercury_air_kg,premature_deaths,40,0.37298782804648833,0.37298782804648833
cadmium_water_kg,premature_deaths,40,-0.34673813487260585,0.34673813487260585
lead_water_kg,premature_deaths,40,-0.33443795470071125,0.33443795470071125
cadmium_air_kg,premature_deaths,40,0.3069687975621603,0.3069687975621603
lead_air_kg,premature_deaths,40,0.2862193823436928,0.2862193823436928
chromium_water_kg,premature_deaths,40,-0.23493156233388687,0.23493156233388687
total_land_emission_kg,premature_deaths,40,0.22622327143784196,0.22622327143784196
pm10_air_kg,premature_deaths,40,0.22219399728966213,0.22219399728966213
copper_land_kg,premature_deaths,40,0.20009058102754917,0.20009058102754917
mercury_land_kg,premature_deaths,40,0.19143419118976093,0.19143419118976093
mercury_water_kg,premature_deaths,40,0.09953251796455975,0.09953251796455975
tvoc_air_kg,premature_deaths,40,0.09589362483166226,0.09589362483166226
zinc_water_kg,premature_deaths,40,-0.07358024718625726,0.07358024718625726
nickel_land_kg,premature_deaths,40,-0.05461277588076964,0.05461277588076964
nickel_air_kg,premature_deaths,40,-0.042531421766525565,0.042531421766525565
cadmium_land_kg,premature_deaths,40,-0.0368494474022188,0.0368494474022188
nickel_water_kg,premature_deaths,40,0.03617817995287651,0.03617817995287651
chromium_air_kg,premature_deaths,40,-0.017377131799177582,0.017377131799177582
pm10_land_kg,premature_deaths,40,,
pm10_water_kg,premature_deaths,40,,
pm25_land_kg,premature_deaths,40,,
pm25_water_kg,premature_deaths,40,,
tvoc_land_kg,premature_deaths,40,,
tvoc_water_kg,premature_deaths,40,,
chromium_water_kg,premature_deaths_asr_per_100000,40,0.6151057367722654,0.6151057367722654
mercury_air_kg,premature_deaths_asr_per_100000,40,-0.322426156221645,0.322426156221645
total_land_emission_kg,premature_deaths_asr_per_100000,40,-0.31103216073475476,0.31103216073475476
copper_air_kg,premature_deaths_asr_per_100000,40,-0.2656331569738154,0.2656331569738154
total_air_emission_kg,premature_deaths_asr_per_100000,40,-0.26530076790496815,0.26530076790496815
pm25_air_kg,premature_deaths_asr_per_100000,40,-0.2448602529860052,0.2448602529860052
total_water_emission_kg,premature_deaths_asr_per_100000,40,-0.2369589125929171,0.2369589125929171
cadmium_air_kg,premature_deaths_asr_per_100000,40,-0.22003746962422113,0.22003746962422113
pm10_air_kg,premature_deaths_asr_per_100000,40,-0.21425914789283357,0.21425914789283357
copper_water_kg,premature_deaths_asr_per_100000,40,-0.2072835216749632,0.2072835216749632
nickel_air_kg,premature_deaths_asr_per_100000,40,-0.19903157453785555,0.19903157453785555
cadmium_land_kg,premature_deaths_asr_per_100000,40,-0.19063287292299236,0.19063287292299236
chromium_air_kg,premature_deaths_asr_per_100000,40,-0.18921268896284665,0.18921268896284665
chromium_land_kg,premature_deaths_asr_per_100000,40,-0.18781514886991157,0.18781514886991157
nickel_water_kg,premature_deaths_asr_per_100000,40,-0.176200265716514,0.176200265716514
copper_land_kg,premature_deaths_asr_per_100000,40,-0.1543855443336559,0.1543855443336559
zinc_land_kg,premature_deaths_asr_per_100000,40,-0.15156984060597647,0.15156984060597647
tvoc_air_kg,premature_deaths_asr_per_100000,40,-0.14463323488170263,0.14463323488170263
lead_land_kg,premature_deaths_asr_per_100000,40,-0.13671097300733698,0.13671097300733698
mercury_land_kg,premature_deaths_asr_per_100000,40,-0.12788540258332595,0.12788540258332595
nickel_land_kg,premature_deaths_asr_per_100000,40,-0.11515689735858597,0.11515689735858597
zinc_air_kg,premature_deaths_asr_per_100000,40,-0.10951266290054715,0.10951266290054715
mercury_water_kg,premature_deaths_asr_per_100000,40,0.10091180727352743,0.10091180727352743
zinc_water_kg,premature_deaths_asr_per_100000,40,-0.08285317630551235,0.08285317630551235
lead_water_kg,premature_deaths_asr_per_100000,40,-0.07161946662335887,0.07161946662335887
cadmium_water_kg,premature_deaths_asr_per_100000,40,-0.04362572465402525,0.04362572465402525
lead_air_kg,premature_deaths_asr_per_100000,40,-0.04258508891152019,0.04258508891152019
pm10_land_kg,premature_deaths_asr_per_100000,40,,
pm10_water_kg,premature_deaths_asr_per_100000,40,,
pm25_land_kg,premature_deaths_asr_per_100000,40,,
pm25_water_kg,premature_deaths_asr_per_100000,40,,
tvoc_land_kg,premature_deaths_asr_per_100000,40,,
tvoc_water_kg,premature_deaths_asr_per_100000,40,,
chromium_water_kg,premature_deaths_percent,40,0.5763482833615046,0.5763482833615046
copper_water_kg,premature_deaths_percent,40,-0.3593178020471519,0.3593178020471519
zinc_water_kg,premature_deaths_percent,40,-0.31103434865677515,0.31103434865677515
total_water_emission_kg,premature_deaths_percent,40,-0.2740715686056017,0.2740715686056017
nickel_water_kg,premature_deaths_percent,40,-0.25859944597451395,0.25859944597451395
cadmium_water_kg,premature_deaths_percent,40,-0.2533564031388116,0.2533564031388116
lead_water_kg,premature_deaths_percent,40,-0.2517867321507567,0.2517867321507567
cadmium_air_kg,premature_deaths_percent,40,-0.2504781243490406,0.2504781243490406
mercury_air_kg,premature_deaths_percent,40,-0.2317291527930467,0.2317291527930467
copper_air_kg,premature_deaths_percent,40,-0.22191458958096055,0.22191458958096055
total_air_emission_kg,premature_deaths_percent,40,-0.21078226426092772,0.21078226426092772
total_land_emission_kg,premature_deaths_percent,40,-0.21039698032086035,0.21039698032086035
zinc_land_kg,premature_deaths_percent,40,-0.18988468150509646,0.18988468150509646
cadmium_land_kg,premature_deaths_percent,40,-0.18278720613867966,0.18278720613867966
chromium_land_kg,premature_deaths_percent,40,-0.1787746387673556,0.1787746387673556
pm25_air_kg,premature_deaths_percent,40,-0.17302639225615765,0.17302639225615765
lead_land_kg,premature_deaths_percent,40,-0.17262186182555417,0.17262186182555417
copper_land_kg,premature_deaths_percent,40,-0.13187652811679587,0.13187652811679587
pm10_air_kg,premature_deaths_percent,40,-0.10703086016764819,0.10703086016764819
zinc_air_kg,premature_deaths_percent,40,-0.08532588273434061,0.08532588273434061
mercury_land_kg,premature_deaths_percent,40,-0.08316069732428992,0.08316069732428992
nickel_air_kg,premature_deaths_percent,40,-0.07717924017109509,0.07717924017109509
lead_air_kg,premature_deaths_percent,40,-0.07278848454647661,0.07278848454647661
chromium_air_kg,premature_deaths_percent,40,-0.06846427152023943,0.06846427152023943
mercury_water_kg,premature_deaths_percent,40,-0.06105679830250473,0.06105679830250473
nickel_land_kg,premature_deaths_percent,40,-0.05858739045226568,0.05858739045226568
tvoc_air_kg,premature_deaths_percent,40,-0.027622530689234513,0.027622530689234513
pm10_land_kg,premature_deaths_percent,40,,
pm10_water_kg,premature_deaths_percent,40,,
pm25_land_kg,premature_deaths_percent,40,,
pm25_water_kg,premature_deaths_percent,40,,
tvoc_land_kg,premature_deaths_percent,40,,
tvoc_water_kg,premature_deaths_percent,40,,
chromium_water_kg,pyll_rate_per_1000,40,0.5841826299818524,0.5841826299818524
mercury_air_kg,pyll_rate_per_1000,40,-0.29438258993230576,0.29438258993230576
total_land_emission_kg,pyll_rate_per_1000,40,-0.28069890654457286,0.28069890654457286
total_water_emission_kg,pyll_rate_per_1000,40,-0.27146538281964067,0.27146538281964067
copper_air_kg,pyll_rate_per_1000,40,-0.2427219400764492,0.2427219400764492
total_air_emission_kg,pyll_rate_per_1000,40,-0.24271062522151562,0.24271062522151562
pm25_air_kg,pyll_rate_per_1000,40,-0.22019247422945046,0.22019247422945046
copper_water_kg,pyll_rate_per_1000,40,-0.21499623526702422,0.21499623526702422
chromium_land_kg,pyll_rate_per_1000,40,-0.20349341840663676,0.20349341840663676
cadmium_air_kg,pyll_rate_per_1000,40,-0.18561084185313204,0.18561084185313204
pm10_air_kg,pyll_rate_per_1000,40,-0.18029426394217374,0.18029426394217374
zinc_land_kg,pyll_rate_per_1000,40,-0.17905180641956756,0.17905180641956756
nickel_air_kg,pyll_rate_per_1000,40,-0.1647955858630077,0.1647955858630077
lead_land_kg,pyll_rate_per_1000,40,-0.1639512821241987,0.1639512821241987
nickel_water_kg,pyll_rate_per_1000,40,-0.16381570738899204,0.16381570738899204
cadmium_land_kg,pyll_rate_per_1000,40,-0.15763284356970128,0.15763284356970128
chromium_air_kg,pyll_rate_per_1000,40,-0.1540947614715936,0.1540947614715936
